"","x"
"1",7
"2",15
"3",19
"4",21
"5",23
"6",27
"7",30
"8",32
"9",33
"10",34
"11",35
"12",36
"13",37
"14",38
"15",39
"16",40
"17",41
"18",42
"19",44
"20",45
"21",46
"22",47
"23",48
"24",49
"25",50
"26",51
"27",52
"28",76
"29",80
"30",84
"31",85
"32",116
"33",117
"34",119
"35",124
"36",125
"37",131
"38",158
"39",160
"40",161
"41",162
"42",163
"43",164
"44",166
"45",168
"46",171
"47",175
"48",177
"49",178
"50",180
"51",183
"52",201
"53",235
"54",244
"55",254
"56",301
"57",318
"58",333
"59",358
"60",365
"61",366
"62",374
"63",377
"64",379
"65",381
"66",383
"67",386
"68",388
"69",389
"70",392
"71",395
"72",398
"73",401
"74",404
"75",409
"76",410
"77",413
"78",416
"79",418
"80",419
"81",421
"82",422
"83",425
"84",429
"85",435
"86",447
"87",455
"88",483
"89",518
"90",584
"91",585
"92",586
"93",587
"94",600
"95",617
"96",618
"97",619
"98",620
"99",621
"100",622
"101",623
"102",637
"103",649
"104",665
"105",667
"106",693
"107",694
"108",700
"109",709
"110",710
"111",712
"112",718
"113",719
"114",720
"115",721
"116",722
"117",723
"118",744
"119",746
"120",748
"121",749
"122",752
"123",760
"124",761
"125",763
"126",766
"127",768
"128",774
"129",775
"130",776
"131",777
"132",778
"133",788
"134",805
"135",806
"136",807
"137",808
"138",815
"139",816
"140",817
"141",818
"142",820
"143",821
"144",822
"145",823
"146",824
"147",826
"148",828
"149",831
"150",835
"151",842
"152",843
"153",852
"154",854
"155",855
"156",858
"157",859
"158",860
"159",861
"160",863
"161",865
"162",868
"163",888
"164",890
"165",891
"166",894
"167",895
"168",896
"169",897
"170",899
"171",900
