"","ID","Model","AIC","AICc","BIC","Response.var","Response.group","Curve.classification"
"1","1","Yan and Hunt","10.6620081746768","Inf","8.70919773684734","net photosynthesis rate","Photosynthesis","unimodal"
"2","1","Briere2","3.017278196349","Inf","1.0644677585195","net photosynthesis rate","Photosynthesis","unimodal"
"3","1","Briere","24.1731681971441","48.1731681971441","22.6109198468805","net photosynthesis rate","Photosynthesis","unimodal"
"4","1","Cubic","5.98041912891812","Inf","4.02760869108862","net photosynthesis rate","Photosynthesis","unimodal"
"5","1","Quadratic","15.0258357644777","39.0258357644777","13.4635874142141","net photosynthesis rate","Photosynthesis","unimodal"
"6","2","Yan and Hunt","7.25660187193736","Inf","5.30379143410786","net photosynthesis rate","Photosynthesis","unimodal"
"7","2","Briere2","1.87149273839731","Inf","-0.0813176994321907","net photosynthesis rate","Photosynthesis","unimodal"
"8","2","Briere","27.5695547489794","51.5695547489794","26.0073063987158","net photosynthesis rate","Photosynthesis","unimodal"
"9","2","Cubic","2.0694796152201","Inf","0.116669177390603","net photosynthesis rate","Photosynthesis","unimodal"
"10","2","Quadratic","2.09933559975858","26.0993355997586","0.537087249494983","net photosynthesis rate","Photosynthesis","unimodal"
"11","3","Yan and Hunt","0.00847396603176875","8.00847396603177","1.521399431002","gross photosynthesis rate","Photosynthesis","non-typical"
"12","3","Briere2","-2.8298584348375","5.17014156516251","-1.31693296986727","gross photosynthesis rate","Photosynthesis","non-typical"
"13","3","Briere","-1.63789305566875","2.36210694433125","-0.427552683692571","gross photosynthesis rate","Photosynthesis","non-typical"
"14","3","Cubic","-3.0502549988895","4.9497450011105","-1.53732953391927","gross photosynthesis rate","Photosynthesis","non-typical"
"15","3","Quadratic","-0.810193053124859","3.18980694687514","0.400147318851324","gross photosynthesis rate","Photosynthesis","non-typical"
"16","4","Yan and Hunt","-12.6641459122305","7.33585408776955","-12.9345951669539","gross photosynthesis rate","Photosynthesis","unimodal"
"17","4","Briere2","-12.9161647715536","7.08383522844639","-13.186614026277","gross photosynthesis rate","Photosynthesis","unimodal"
"18","4","Briere","-14.8435202909067","-6.84352029090666","-15.0598796946854","gross photosynthesis rate","Photosynthesis","unimodal"
"19","4","Cubic","-12.6684390325115","7.33156096748851","-12.9388882872349","gross photosynthesis rate","Photosynthesis","unimodal"
"20","4","Quadratic","-12.4702338325309","-4.47023383253085","-12.6865932363096","gross photosynthesis rate","Photosynthesis","unimodal"
"21","5","Yan and Hunt","-29.4764901680209","-23.7622044537352","-27.0519569190809","respiration rate","Respiration","rising"
"22","5","Briere2","-21.6798258234531","-15.9655401091674","-19.2552925745131","respiration rate","Respiration","rising"
"23","5","Briere","-20.5190142114763","-17.5190142114763","-18.5793876123243","respiration rate","Respiration","rising"
"24","5","Cubic","-19.0712213652017","-13.356935650916","-16.6466881162617","respiration rate","Respiration","rising"
"25","5","Quadratic","-20.6045923266502","-17.6045923266502","-18.6649657274982","respiration rate","Respiration","rising"
"26","6","Yan and Hunt","-23.081420646693","-9.74808731335967","-22.6842129382938","respiration rate","Respiration","rising"
"27","6","Briere2","-22.6595807363803","-9.32624740304701","-22.2623730279812","respiration rate","Respiration","rising"
"28","6","Briere","-24.2233326072973","-18.2233326072973","-23.905566440578","respiration rate","Respiration","rising"
"29","6","Cubic","-22.9412310170279","-9.6078976836946","-22.5440233086288","respiration rate","Respiration","rising"
"30","6","Quadratic","-24.8061618169965","-18.8061618169965","-24.4883956502772","respiration rate","Respiration","rising"
"31","7","Yan and Hunt","-3.3313814191822","16.6686185808178","-3.60183067390563","net photosynthesis rate","Photosynthesis","unimodal"
"32","7","Briere2","2.40492654549376","22.4049265454938","2.13447729077033","net photosynthesis rate","Photosynthesis","unimodal"
"33","7","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"34","7","Cubic","-4.3574136666332","15.6425863333668","-4.62786292135664","net photosynthesis rate","Photosynthesis","unimodal"
"35","7","Quadratic","-3.55993883226445","4.44006116773555","-3.77629823604319","net photosynthesis rate","Photosynthesis","unimodal"
"36","8","Yan and Hunt","0.0591374206036051","13.3924707539369","0.456345129002784","net photosynthesis rate","Photosynthesis","unimodal"
"37","8","Briere2","-0.601773171772109","12.7315601615612","-0.20456546337293","net photosynthesis rate","Photosynthesis","unimodal"
"38","8","Briere","23.3931261404099","29.3931261404099","23.7108923071293","net photosynthesis rate","Photosynthesis","unimodal"
"39","8","Cubic","0.00316848574791351","13.3365018190812","0.400376194147093","net photosynthesis rate","Photosynthesis","unimodal"
"40","8","Quadratic","-1.93445415914899","4.06554584085101","-1.61668799242965","net photosynthesis rate","Photosynthesis","unimodal"
"41","9","Yan and Hunt","53.1196346747463","59.786301341413","55.1091110387381","net photosynthesis rate","Photosynthesis","unimodal"
"42","9","Briere2","54.7675594847652","61.4342261514319","56.7570358487571","net photosynthesis rate","Photosynthesis","unimodal"
"43","9","Briere","53.5564617436713","56.9850331722427","55.1480428348648","net photosynthesis rate","Photosynthesis","unimodal"
"44","9","Cubic","53.8960815943385","60.5627482610051","55.8855579583303","net photosynthesis rate","Photosynthesis","unimodal"
"45","9","Quadratic","53.0264515394065","56.4550229679779","54.6180326306","net photosynthesis rate","Photosynthesis","unimodal"
"46","10","Yan and Hunt","69.1391177759499","75.8057844426166","71.1285941399418","net photosynthesis rate","Photosynthesis","non-typical"
"47","10","Briere2","69.1352988315581","75.8019654982247","71.1247751955499","net photosynthesis rate","Photosynthesis","non-typical"
"48","10","Briere","67.4376147288671","70.8661861574385","69.0291958200606","net photosynthesis rate","Photosynthesis","non-typical"
"49","10","Cubic","69.1402019988406","75.8068686655072","71.1296783628324","net photosynthesis rate","Photosynthesis","non-typical"
"50","10","Quadratic","67.1442692297742","70.5728406583457","68.7358503209677","net photosynthesis rate","Photosynthesis","non-typical"
"51","11","Yan and Hunt",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"52","11","Briere2","-5.44432771080723","7.8890056225261","-5.04712000240805","net photosynthesis rate","Photosynthesis","unimodal"
"53","11","Briere","-6.88339247749165","-0.883392477491647","-6.5656263107723","net photosynthesis rate","Photosynthesis","unimodal"
"54","11","Cubic","-9.97226408132628","3.36106925200706","-9.5750563729271","net photosynthesis rate","Photosynthesis","unimodal"
"55","11","Quadratic","-3.09712585570181","2.90287414429819","-2.77935968898247","net photosynthesis rate","Photosynthesis","unimodal"
"56","12","Yan and Hunt",NA,NA,NA,"respiration rate","Respiration","rising"
"57","12","Briere2","-19.7759645270564","-6.44263119372303","-19.3787568186572","respiration rate","Respiration","rising"
"58","12","Briere","-21.5310785775116","-15.5310785775116","-21.2133124107923","respiration rate","Respiration","rising"
"59","12","Cubic","-19.9032641337179","-6.56993080038452","-19.5060564253187","respiration rate","Respiration","rising"
"60","12","Quadratic","-21.3687168693832","-15.3687168693832","-21.0509507026638","respiration rate","Respiration","rising"
"61","13","Yan and Hunt","79.2659883748252","83.7104328192697","82.4612750229015","net photosynthesis rate","Photosynthesis","unimodal"
"62","13","Briere2","82.9224928276523","87.3669372720967","86.1177794757286","net photosynthesis rate","Photosynthesis","unimodal"
"63","13","Briere","116.346269054613","118.746269054612","118.902498373074","net photosynthesis rate","Photosynthesis","unimodal"
"64","13","Cubic","77.9704509778445","82.414895422289","81.1657376259208","net photosynthesis rate","Photosynthesis","unimodal"
"65","13","Quadratic","99.8470163116401","102.24701631164","102.403245630101","net photosynthesis rate","Photosynthesis","unimodal"
"66","14","Yan and Hunt","43.5388306867432","51.5388306867432","45.0517561517135","respiration rate","Respiration","rising"
"67","14","Briere2","45.6669795360121","53.6669795360121","47.1799050009824","respiration rate","Respiration","rising"
"68","14","Briere","45.4971756887606","49.4971756887606","46.7075160607368","respiration rate","Respiration","rising"
"69","14","Cubic","46.1741808223155","54.1741808223155","47.6871062872857","respiration rate","Respiration","rising"
"70","14","Quadratic","44.914885690889","48.914885690889","46.1252260628652","respiration rate","Respiration","rising"
"71","15","Yan and Hunt","64.1862842534392","67.8226478898028","68.0492278646381","net photosynthesis rate","Photosynthesis","unimodal"
"72","15","Briere2","65.2884715955702","68.9248352319339","69.1514152067691","net photosynthesis rate","Photosynthesis","unimodal"
"73","15","Briere","85.0632351924753","87.0632351924753","88.1535900814345","net photosynthesis rate","Photosynthesis","unimodal"
"74","15","Cubic","64.204844409709","67.8412080460727","68.0677880209079","net photosynthesis rate","Photosynthesis","unimodal"
"75","15","Quadratic","68.8006002032986","70.8006002032986","71.8909550922577","net photosynthesis rate","Photosynthesis","unimodal"
"76","16","Yan and Hunt","47.4161831862696","55.4161831862696","48.9291086512398","respiration rate","Respiration","rising"
"77","16","Briere2","47.442676023572","55.442676023572","48.9556014885422","respiration rate","Respiration","rising"
"78","16","Briere","45.564834998441","49.564834998441","46.7751753704172","respiration rate","Respiration","rising"
"79","16","Cubic","47.285193548735","55.285193548735","48.7981190137052","respiration rate","Respiration","rising"
"80","16","Quadratic","46.1507759036453","50.1507759036453","47.3611162756215","respiration rate","Respiration","rising"
"81","17","Yan and Hunt","4.44334516577386","24.4433451657739","4.17289591105043","net photosynthesis rate","Photosynthesis","unimodal"
"82","17","Briere2","10.3739263300824","30.3739263300824","10.103477075359","net photosynthesis rate","Photosynthesis","unimodal"
"83","17","Briere","11.6256715571732","19.6256715571732","11.4093121533945","net photosynthesis rate","Photosynthesis","unimodal"
"84","17","Cubic","17.1210817248302","37.1210817248302","16.8506324701067","net photosynthesis rate","Photosynthesis","unimodal"
"85","17","Quadratic","25.0248590511247","33.0248590511247","24.8084996473459","net photosynthesis rate","Photosynthesis","unimodal"
"86","18","Yan and Hunt","-3.71829717261103","16.281702827389","-3.98874642733446","respiration rate","Respiration","rising"
"87","18","Briere2","-2.74821721526961","17.2517827847304","-3.01866646999304","respiration rate","Respiration","rising"
"88","18","Briere","-4.73575089292214","3.26424910707786","-4.95211029670089","respiration rate","Respiration","rising"
"89","18","Cubic","-4.77985627292929","15.2201437270707","-5.05030552765272","respiration rate","Respiration","rising"
"90","18","Quadratic","-5.90457663284501","2.09542336715499","-6.12093603662376","respiration rate","Respiration","rising"
"91","19","Yan and Hunt","9.48414016330654","29.4841401633065","9.21369090858311","net photosynthesis rate","Photosynthesis","unimodal"
"92","19","Briere2","17.4674874895096","37.4674874895096","17.1970382347862","net photosynthesis rate","Photosynthesis","unimodal"
"93","19","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"94","19","Cubic","9.47741460616073","29.4774146061607","9.20696535143729","net photosynthesis rate","Photosynthesis","unimodal"
"95","19","Quadratic","9.93678907608551","17.9367890760855","9.72042967230676","net photosynthesis rate","Photosynthesis","unimodal"
"96","20","Yan and Hunt","-8.00065920194869","5.33267413138465","-7.60345149354951","respiration rate","Respiration","rising"
"97","20","Briere2","5.35161860225812","18.6849519355914","5.74882631065729","respiration rate","Respiration","rising"
"98","20","Briere","3.36377688937893","9.36377688937893","3.68154305609827","respiration rate","Respiration","rising"
"99","20","Cubic","-8.62575974831616","4.70757358501717","-8.22855203991698","respiration rate","Respiration","rising"
"100","20","Quadratic","-8.45476820232177","-2.45476820232177","-8.13700203560243","respiration rate","Respiration","rising"
"101","21","Yan and Hunt","-3.77686225467795","9.55647107865538","-3.37965454627877","net photosynthesis rate","Photosynthesis","unimodal"
"102","21","Briere2","24.326434218339","37.6597675516723","24.7236419267381","net photosynthesis rate","Photosynthesis","unimodal"
"103","21","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"104","21","Cubic","0.511120173506235","13.8444535068396","0.908327881905414","net photosynthesis rate","Photosynthesis","unimodal"
"105","21","Quadratic","9.1845346207086","15.1845346207086","9.50230078742794","net photosynthesis rate","Photosynthesis","unimodal"
"106","22","Yan and Hunt","-18.3857904242361","1.61420957576391","-18.6562396789595","respiration rate","Respiration","rising"
"107","22","Briere2","-0.288584204580562","19.7114157954194","-0.559033459303997","respiration rate","Respiration","rising"
"108","22","Briere","-2.18885446711478","5.81114553288522","-2.40521387089352","respiration rate","Respiration","rising"
"109","22","Cubic","-13.4143201910833","6.58567980891672","-13.6847694458067","respiration rate","Respiration","rising"
